log,idx,bs,N,C,H,nomask,distribution,runs,mean_us,best_us,std_us,err_us
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_145720.out,6,1,1024,384,128,1,normal,3,9232.043,9221.120,11.868,6.852
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185417.out,0,2,256,128,128,1,normal,100,843.315,816.128,21.128,2.113
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185417.out,1,1,768,128,128,1,cauchy,3,4002.816,3997.696,5.120,2.956
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185417.out,2,2,256,384,128,0,normal,100,1213.204,1186.816,29.345,2.934
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185417.out,3,1,512,128,128,1,normal,39,1587.856,1568.768,9.843,1.576
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185417.out,4,1,1024,128,128,1,cauchy,23,7288.520,7260.160,50.617,10.554
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185417.out,5,1,768,384,128,0,normal,3,5173.931,5166.080,6.818,3.936
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185417.out,6,1,1024,384,128,1,normal,3,9189.035,9187.328,1.564,0.903
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185844.out,0,2,256,128,128,1,normal,100,843.203,800.768,46.244,4.624
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185844.out,1,1,768,128,128,1,cauchy,3,4004.523,3998.720,5.051,2.916
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185844.out,2,2,256,384,128,0,normal,100,1209.631,1184.768,33.245,3.324
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185844.out,3,1,512,128,128,1,normal,9,1588.907,1581.056,4.344,1.448
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185844.out,4,1,1024,128,128,1,cauchy,3,7271.765,7266.304,8.588,4.958
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185844.out,5,1,768,384,128,0,normal,3,5187.584,5178.368,7.998,4.617
gpumode/trimul_a100/logs/v37_cuda_ext_vec_gate_leaderboard_20260507_185844.out,6,1,1024,384,128,1,normal,3,9185.280,9182.208,3.692,2.132
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_185955.out,0,2,256,128,128,1,normal,100,822.927,795.648,24.985,2.498
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_185955.out,1,1,768,128,128,1,cauchy,3,4058.112,4055.040,2.709,1.564
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_185955.out,2,2,256,384,128,0,normal,3,1376.939,1375.232,1.564,0.903
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_185955.out,3,1,512,128,128,1,normal,100,1601.321,1573.888,56.234,5.623
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_185955.out,4,1,1024,128,128,1,cauchy,3,7387.819,7385.088,2.365,1.365
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_185955.out,5,1,768,384,128,0,normal,100,5189.325,5172.224,59.695,5.969
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_185955.out,6,1,1024,384,128,1,normal,3,9257.643,9253.888,4.839,2.794
